,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
0,2009-06-19 22:02:07.612039,2009-06-19 22:02:44.232761,0.61035,13.09252,15.68217,9.78615,135.36203,1171181.1492,29.77582,4957.05524,2009-06-19 22:02:25.922400,-0.878,0.094,-0.974
1,2009-06-19 22:03:27.753439,2009-06-19 22:04:04.374161,0.61035,18.21557,18.47818,3.7963,134.06448,1203519.65277,25.72138,4909.53809,2009-06-19 22:03:46.063800,-0.771,0.044,-0.998
2,2009-06-19 22:22:09.116621,2009-06-19 22:33:45.910579,11.61323,15.43216,20.00651,6.8103,140.63681,1853713.31619,20.81636,97994.87634,2009-06-19 22:27:57.513600,0.847,-0.026,0.061
3,2009-06-19 22:34:39.030410,2009-06-19 22:35:18.965590,0.66559,16.73746,18.15863,5.39145,131.77434,1862483.2519,20.78987,5262.43181,2009-06-19 22:34:58.998000,-0.82,0.005,-1.0
4,2009-06-19 22:38:59.435667,2009-06-19 22:55:24.851133,16.42359,15.45471,19.99144,6.72113,127.63426,1930292.68777,19.1439,125772.77382,2009-06-19 22:47:12.143400,0.82,-0.549,0.089
5,2009-06-19 22:58:13.030555,2009-06-19 23:01:07.229045,2.90331,17.7743,18.7932,4.28313,133.40842,1920791.60621,17.52287,23239.5451,2009-06-19 22:59:40.129800,-0.751,0.014,-0.998
6,2009-06-19 23:02:01.672250,2009-06-19 23:03:08.834950,1.11938,18.66702,18.75357,3.50195,131.51554,1811817.37286,17.46717,8832.93874,2009-06-19 23:02:35.253600,0.759,-0.033,0.016
7,2009-06-19 23:08:28.354614,2009-06-19 23:44:17.560986,35.82011,13.85673,17.75838,7.62863,137.1318,1938731.8721,18.179,294724.53478,2009-06-19 23:26:22.957800,-0.758,0.468,-0.101
8,2009-06-20 00:10:27.509214,2009-06-20 00:46:16.715586,35.82011,13.8059,17.38567,7.35179,136.95574,1900783.68358,17.08858,294346.14169,2009-06-20 00:28:22.112400,0.812,0.325,0.7
9,2009-06-20 00:58:05.496067,2009-06-20 01:25:42.760733,27.62108,11.11258,15.82292,11.86002,144.64947,1980760.85795,17.38855,239722.44984,2009-06-20 01:11:54.128400,-0.795,0.369,0.311
10,2009-06-20 01:30:14.218367,2009-06-20 01:31:15.806833,1.02647,8.94752,9.25851,16.7358,146.29154,2019745.57944,17.24937,9009.87158,2009-06-20 01:30:45.012600,0.771,0.002,-1.0
11,2009-06-20 01:32:24.069101,2009-06-20 01:34:38.394499,2.23876,13.51294,13.61663,6.72325,146.72066,1961418.11092,16.37761,19708.31089,2009-06-20 01:33:31.231800,-0.763,0.154,-0.952
12,2009-06-20 01:35:29.966533,2009-06-20 01:43:42.674267,8.2118,10.06266,11.99675,14.01838,155.29954,2030292.99381,17.48753,76517.28441,2009-06-20 01:39:36.320400,-0.756,-0.133,-0.928
13,2009-06-20 01:44:07.914067,2009-06-20 01:48:14.267933,4.1059,12.42507,15.71083,9.03846,152.13779,1968967.56564,16.61969,37479.73225,2009-06-20 01:46:11.091000,0.827,0.225,-0.952
14,2009-06-20 01:49:49.389220,2009-06-20 01:51:09.259580,1.33117,9.11661,9.74077,16.63371,152.22373,2025999.18864,17.65498,12158.1639,2009-06-20 01:50:29.324400,0.848,-0.004,-1.0
15,2009-06-20 01:52:33.232402,2009-06-20 01:57:01.883198,4.47751,9.88136,13.68469,15.13333,152.66905,1999537.75852,18.27265,41014.66207,2009-06-20 01:54:47.557800,-0.82,-0.025,-0.998
16,2009-06-20 01:58:46.032325,2009-06-20 01:59:19.613675,0.55969,9.54207,9.84961,16.12787,154.08217,2060151.43465,18.70543,5174.28721,2009-06-20 01:59:02.823000,0.817,-0.022,0.774
17,2009-06-20 01:59:27.587125,2009-06-20 02:00:01.168475,0.55969,9.25561,10.70699,17.61945,153.96514,2066417.1573,18.51799,5170.35734,2009-06-20 01:59:44.377800,0.655,0.001,-1.0
18,2009-06-20 02:02:11.051433,2009-06-20 02:15:59.683767,13.81054,9.46971,12.67481,16.79289,152.42878,2053249.893,18.43808,126307.41937,2009-06-20 02:09:05.367600,-0.804,0.212,-0.533
19,2009-06-20 02:29:00.027564,2009-06-20 02:29:56.504436,0.94128,10.75279,13.0808,12.34066,149.68097,1978206.3355,17.99269,8453.51326,2009-06-20 02:29:28.266000,-0.906,0.013,-1.0
20,2009-06-20 02:30:21.693600,2009-06-20 02:31:09.184800,0.79152,8.39496,9.25861,20.00408,149.27144,1959976.30476,18.5366,7089.08003,2009-06-20 02:30:45.439200,-0.969,0.024,-0.999
21,2009-06-20 02:32:17.372327,2009-06-20 02:34:10.326073,1.88256,8.62729,9.52651,19.2644,149.04361,2015609.36247,18.14442,16835.03411,2009-06-20 02:33:13.849200,-0.779,-0.063,-0.958
22,2009-06-20 02:34:46.749429,2009-06-20 02:44:32.680971,9.76553,10.07186,13.23638,14.42583,150.4277,1978262.18867,17.56141,88140.33401,2009-06-20 02:39:39.715200,0.793,-0.676,-0.356
23,2009-06-20 02:58:20.498658,2009-06-20 03:17:52.361742,19.53105,9.2741,14.07592,18.96889,157.71718,2069169.04384,18.71309,184822.94483,2009-06-20 03:08:06.430200,0.933,0.299,0.68
