,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
0,2017-11-05 03:34:26.727729,2017-11-05 03:35:27.272271,1.00908,7.62828,11.85211,26.49154,283.24538,1105608.7093,11.6343,17148.96186,2017-11-05 03:34:57.000,0.853,-0.427,-0.339
1,2017-11-05 03:36:28.544156,2017-11-05 03:37:19.455844,0.84853,11.33156,12.71621,6.87038,295.75287,1521214.21474,13.02903,15057.27797,2017-11-05 03:36:54.000,0.758,-0.264,0.82
2,2017-11-05 03:38:51.000000,2017-11-05 03:43:39.000000,4.8,6.72049,9.11061,24.25818,275.55704,1584847.55173,14.82601,79360.42848,2017-11-05 03:41:15.000,-0.803,0.063,0.879
3,2017-11-05 03:46:35.902836,2017-11-05 03:55:24.097164,8.80324,8.5678,12.77897,15.49969,276.60459,1297370.66672,15.59117,146100.97751,2017-11-05 03:51:00.000,-0.842,-0.476,0.561
4,2017-11-05 03:55:37.487854,2017-11-05 03:56:43.512146,1.1004,12.06174,13.904,6.81641,309.30427,1130237.51313,18.02417,20421.59485,2017-11-05 03:56:10.500,-0.838,0.344,0.186
5,2017-11-05 03:57:11.188544,2017-11-05 03:58:36.811456,1.42705,10.14004,13.904,11.00836,293.13542,1325610.05349,15.70178,25099.10852,2017-11-05 03:57:54.000,0.888,-0.401,0.572
6,2017-11-05 03:59:57.983443,2017-11-05 04:02:35.016557,2.61722,6.11926,9.92666,27.19766,264.60293,1635697.29693,12.48711,41551.42173,2017-11-05 04:01:16.500,0.963,-0.119,0.886
7,2017-11-05 04:03:06.983443,2017-11-05 04:05:44.016557,2.61722,7.43954,12.09078,28.11764,282.57627,1478217.29479,13.83841,44373.83161,2017-11-05 04:04:25.500,0.776,0.169,0.609
8,2017-11-05 04:08:04.487854,2017-11-05 04:09:10.512146,1.1004,7.73424,12.14124,18.79559,265.80732,1330160.46655,14.66047,17549.7402,2017-11-05 04:08:37.500,0.842,0.316,0.582
9,2017-11-05 04:10:22.127552,2017-11-05 04:13:28.872448,3.11241,8.29308,11.32741,16.08475,268.63552,1607402.97566,12.66845,50166.31217,2017-11-05 04:11:55.500,-0.859,-0.301,0.598
10,2017-11-05 04:25:41.255104,2017-11-05 04:31:54.744896,6.22483,9.39053,14.05451,12.71563,274.24745,1466939.78528,13.3538,102428.62238,2017-11-05 04:28:48.000,0.82,0.32,0.632
11,2017-11-05 04:38:26.921641,2017-11-05 04:45:51.078359,7.40261,10.62534,15.04835,8.8894,270.89965,1498903.71293,13.28813,120321.8993,2017-11-05 04:42:09.000,0.883,-0.241,0.191
12,2017-11-05 04:47:06.000000,2017-11-05 04:48:18.000000,1.2,11.59388,12.72449,5.28884,284.57554,1497941.09374,10.65803,20489.43906,2017-11-05 04:47:42.000,0.919,0.321,0.438
13,2017-11-05 04:51:03.740205,2017-11-05 04:51:59.259795,0.92533,10.94788,12.03344,6.54813,282.99985,1530565.69858,11.62751,15712.03564,2017-11-05 04:51:31.500,-0.945,0.217,0.094
14,2017-11-05 04:51:59.627552,2017-11-05 04:55:06.372448,3.11241,10.40837,11.13767,6.81889,283.50229,1539944.20785,10.96724,52942.60571,2017-11-05 04:53:33.000,-0.798,0.034,0.331
15,2017-11-05 04:58:26.627552,2017-11-05 05:01:33.372448,3.11241,11.19632,13.48147,6.63245,266.29588,1484271.55039,12.05755,49729.3965,2017-11-05 05:00:00.000,0.864,0.196,-0.077
16,2017-11-05 05:04:04.343282,2017-11-05 05:18:52.656718,14.80522,10.01094,14.26974,8.17364,260.54138,1616214.84216,10.77785,231442.41243,2017-11-05 05:11:28.500,0.884,0.199,0.748
17,2017-11-05 05:24:51.706494,2017-11-05 05:38:26.293506,13.57645,9.45763,10.72631,8.56861,269.46664,1693094.9563,10.67427,219504.0229,2017-11-05 05:31:39.000,-0.857,0.214,0.844
18,2017-11-05 05:39:08.877088,2017-11-05 05:42:00.122912,2.8541,10.23188,12.0345,6.89204,255.35267,1852228.61625,9.31904,43728.07884,2017-11-05 05:40:34.500,-0.906,-0.172,0.498
19,2017-11-05 05:47:56.727729,2017-11-05 05:48:57.272271,1.00908,10.27914,11.81272,6.68615,254.92341,1733265.98083,9.60548,15434.22081,2017-11-05 05:48:27.000,0.891,0.387,0.209
20,2017-11-05 05:50:17.980410,2017-11-05 05:52:09.019590,1.85065,6.64657,7.45511,18.85427,264.07388,2030997.75736,10.05535,29322.54661,2017-11-05 05:51:13.500,-0.756,0.346,0.082
21,2017-11-05 05:56:08.980410,2017-11-05 05:58:00.019590,1.85065,8.44658,9.58904,12.24039,267.46287,1692275.84377,12.35552,29698.85781,2017-11-05 05:57:04.500,0.816,-0.63,0.254
22,2017-11-05 05:59:37.510208,2017-11-05 06:12:04.489792,12.44966,8.36388,11.57231,13.38355,264.18003,1849690.95449,11.80471,197337.09246,2017-11-05 06:05:51.000,-0.823,-0.152,-0.409
23,2017-11-05 06:16:23.987854,2017-11-05 06:17:30.012146,1.1004,8.00105,8.37543,13.42783,269.34534,1756979.58241,11.60056,17783.33546,2017-11-05 06:16:57.000,0.8,0.296,-0.652
24,2017-11-05 06:19:04.544156,2017-11-05 06:19:55.455844,0.84853,10.70349,13.22119,7.89062,266.16757,1673842.8695,11.08527,13551.04048,2017-11-05 06:19:30.000,0.829,-0.196,-0.55
25,2017-11-05 06:23:39.044156,2017-11-05 06:24:29.955844,0.84853,9.2852,10.12808,9.67713,251.58636,1674136.16379,11.31414,12808.6865,2017-11-05 06:24:04.500,0.764,0.817,-0.04
26,2017-11-05 06:27:52.421641,2017-11-05 06:35:16.578359,7.40261,10.13314,13.62277,7.7707,251.5978,1687617.44246,9.91747,111748.85313,2017-11-05 06:31:34.500,0.833,0.42,-0.559
27,2017-11-05 06:37:09.367546,2017-11-05 06:58:05.632454,20.93775,12.23044,15.02569,5.24609,254.08807,1770052.14361,9.40153,319201.92336,2017-11-05 06:47:37.500,0.77,0.019,0.291
28,2017-11-05 07:08:13.186565,2017-11-05 07:37:49.813435,29.61045,11.01233,13.2514,6.05405,242.39633,1547821.49874,10.64967,430647.83821,2017-11-05 07:23:01.500,0.792,0.265,0.227
29,2017-11-05 07:39:42.044156,2017-11-05 07:40:32.955844,0.84853,10.12793,11.89104,8.62615,249.50086,1634425.6457,12.44885,12702.51016,2017-11-05 07:40:07.500,-0.893,0.822,-0.034
30,2017-11-05 07:42:28.241722,2017-11-05 07:43:46.758278,1.30861,11.07723,12.37985,6.66364,233.19913,1593763.45366,11.83842,18309.99305,2017-11-05 07:43:07.500,0.963,0.329,0.508
31,2017-11-05 07:44:15.000000,2017-11-05 07:46:39.000000,2.4,10.62271,12.41806,7.17878,234.78854,1575909.37019,11.74211,33809.54962,2017-11-05 07:45:27.000,0.863,0.414,-0.204
32,2017-11-05 07:47:42.000000,2017-11-05 07:48:54.000000,1.2,12.6023,12.74338,4.55166,235.18329,1604858.57499,10.52859,16933.19708,2017-11-05 07:48:18.000,-0.828,0.003,0.812
33,2017-11-05 07:53:26.921641,2017-11-05 08:00:51.078359,7.40261,10.78752,12.96662,7.37167,235.7365,1540667.32416,12.62508,104703.94923,2017-11-05 07:57:09.000,-0.804,0.683,-0.195
34,2017-11-05 08:14:11.373129,2017-11-05 09:13:24.626871,59.2209,12.18911,17.94903,5.77139,245.64867,1619822.83503,11.07288,872852.04651,2017-11-05 08:43:48.000,-0.768,-0.289,0.016
35,2017-11-05 09:30:37.676624,2017-11-05 09:34:01.323376,3.39411,13.30982,16.766,4.37063,255.87504,1572124.22079,10.31042,52108.12153,2017-11-05 09:32:19.500,-0.831,-0.13,-0.76
36,2017-11-05 09:34:01.480410,2017-11-05 09:35:52.519590,1.85065,14.63938,17.95304,3.61523,249.89813,1573189.32036,9.84477,27748.48317,2017-11-05 09:34:57.000,0.793,0.329,0.154
37,2017-11-05 09:38:52.227729,2017-11-05 09:39:52.772271,1.00908,13.30661,17.31912,4.43196,247.33451,1650976.12516,10.45649,14974.7545,2017-11-05 09:39:22.500,-0.92,0.258,-0.512
38,2017-11-05 09:40:29.508351,2017-11-05 09:51:54.491649,11.41639,13.47967,17.69937,4.76498,245.52121,1561093.43427,11.50456,168177.92644,2017-11-05 09:46:12.000,-0.828,-0.016,0.548
39,2017-11-05 09:54:07.421641,2017-11-05 10:01:31.578359,7.40261,12.42356,15.64856,4.99513,239.40126,1566597.33662,10.88145,106331.67621,2017-11-05 09:57:49.500,0.792,0.362,0.223
40,2017-11-05 10:05:14.240205,2017-11-05 10:06:09.759795,0.92533,15.51915,17.60179,2.66176,214.15753,1478104.34542,9.9327,11889.93793,2017-11-05 10:05:42.000,-0.834,0.381,-0.491
41,2017-11-05 10:08:11.627552,2017-11-05 10:11:18.372448,3.11241,16.81747,18.9065,2.1381,252.9844,1398665.39594,9.53043,47243.54614,2017-11-05 10:09:45.000,-0.876,0.302,-0.015
42,2017-11-05 10:18:59.960821,2017-11-05 10:22:42.039179,3.70131,13.98851,16.17237,3.38341,196.42185,1530596.79862,10.09652,43621.04241,2017-11-05 10:20:51.000,-0.866,0.761,0.4
43,2017-11-05 10:24:32.727729,2017-11-05 10:25:33.272271,1.00908,17.56156,19.21692,1.7536,255.25086,1406535.00398,8.80492,15454.04618,2017-11-05 10:25:03.000,0.922,0.645,0.395
44,2017-11-05 10:26:46.500000,2017-11-05 10:27:58.500000,1.2,11.77487,14.66577,5.66521,211.47432,1618708.14881,11.26789,15226.15117,2017-11-05 10:27:22.500,-0.78,0.745,-0.233
